model,seed,test_size,test_count,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc
Logistic C=0.1,97,0.1,31,0.6,0.9032258064516129,1.0,0.7857142857142857,0.88,1.0,0.9999999999999998
Logistic C=0.05,0,0.1,31,0.3,0.9032258064516129,0.8235294117647058,1.0,0.9032258064516129,0.9915966386554622,0.9901360544217686
Logistic C=0.25,27,0.1,31,0.5,0.9032258064516129,0.8235294117647058,1.0,0.9032258064516129,0.9915966386554622,0.9901360544217686
Logistic C=0.25,97,0.1,31,0.35,0.9032258064516129,0.8666666666666667,0.9285714285714286,0.896551724137931,0.9915966386554622,0.9910714285714284
Logistic C=0.05,0,0.1,31,0.5,0.9032258064516129,0.9230769230769231,0.8571428571428571,0.8888888888888888,0.9915966386554622,0.9901360544217686
Logistic C=0.1,0,0.1,31,0.5,0.9032258064516129,0.9230769230769231,0.8571428571428571,0.8888888888888888,0.9915966386554622,0.9901360544217686
Logistic C=0.05,0,0.1,31,0.6,0.9032258064516129,1.0,0.7857142857142857,0.88,0.9915966386554622,0.9901360544217686
Logistic C=0.25,97,0.1,31,0.5,0.9032258064516129,1.0,0.7857142857142857,0.88,0.9915966386554622,0.9910714285714284
Logistic C=0.25,97,0.1,31,0.55,0.9032258064516129,1.0,0.7857142857142857,0.88,0.9915966386554622,0.9910714285714284
Logistic C=0.25,97,0.1,31,0.6,0.9032258064516129,1.0,0.7857142857142857,0.88,0.9915966386554622,0.9910714285714284
Logistic C=0.05,27,0.1,31,0.5,0.9032258064516129,0.8235294117647058,1.0,0.9032258064516129,0.9873949579831932,0.9846415489272631
Logistic C=0.1,27,0.1,31,0.5,0.9032258064516129,0.8235294117647058,1.0,0.9032258064516129,0.9873949579831932,0.9846415489272631
Logistic C=0.25,38,0.1,31,0.4,0.9032258064516129,0.8666666666666667,0.9285714285714286,0.896551724137931,0.9873949579831932,0.9859693877551019
Logistic C=0.25,38,0.1,31,0.35,0.9032258064516129,0.8666666666666667,0.9285714285714286,0.896551724137931,0.9873949579831932,0.9859693877551019
